from,to,cost
marsa	marsa	0.0
marsa	mosta	10434.6
marsa	lucija	4124.2
marsa	furjana	2939.2
marsa	attard	7002.7
marsa	imsida	5472.9
mosta	marsa	11108.6
mosta	mosta	0.0
mosta	lucija	12060.0
mosta	furjana	9005.6
mosta	attard	3086.2
mosta	imsida	7744.0
lucija	marsa	1453.9
lucija	mosta	11888.4
lucija	lucija	0.0
lucija	furjana	4393.0
lucija	attard	8456.5
lucija	imsida	6926.7
furjana	marsa	5865.0
furjana	mosta	9281.3
furjana	lucija	6816.4
furjana	furjana	0.0
furjana	attard	9000.3
furjana	imsida	4319.6
attard	marsa	8022.3
attard	mosta	5158.0
attard	lucija	8973.7
attard	furjana	6852.7
attard	attard	0.0
attard	imsida	6046.0
